user_id,product_id,action,rating,timestamp
U01782,P01388,add_to_cart,,2025-09-19 15:48:10
U01891,P02872,view,,2025-09-19 15:58:10
U01703,P04119,purchase,3.2,2025-09-19 16:14:10
U01340,P00961,add_to_cart,,2025-09-19 16:26:10
U01602,P02989,add_to_cart,,2025-09-19 16:44:10
U00116,P04225,view,,2025-09-19 16:54:10
U01354,P03901,view,,2025-09-19 17:12:10
U00856,P02119,view,,2025-09-19 17:20:10
U00910,P02445,view,,2025-09-19 17:32:10
U01424,P00481,add_to_cart,,2025-09-19 17:37:10
U00299,P03413,view,,2025-09-19 17:38:10
U00506,P02440,click,,2025-09-19 17:56:10
U00939,P02517,view,,2025-09-19 18:15:10
U00479,P01441,view,,2025-09-19 18:23:10
U00697,P02554,view,,2025-09-19 18:47:10
U01703,P02665,view,,2025-09-19 19:01:10
U00757,P04963,purchase,,2025-09-19 19:16:10
U01838,P03444,view,,2025-09-19 19:18:10
U00751,P03087,view,,2025-09-19 19:37:10
U00610,P03211,purchase,,2025-09-19 19:43:10
U01263,P02715,click,,2025-09-19 20:24:10
U00051,P03262,click,,2025-09-19 20:32:10
U01733,P01958,click,,2025-09-19 20:36:10
U00186,P02633,add_to_cart,,2025-09-19 20:39:10
U01224,P00230,add_to_cart,,2025-09-19 21:13:10
U00128,P04494,add_to_cart,,2025-09-19 21:31:10
U00921,P03597,view,,2025-09-19 21:32:10
U00313,P04980,click,,2025-09-19 21:38:10
U00426,P03349,purchase,,2025-09-19 21:50:10
U01554,P02509,click,,2025-09-19 21:50:10
U01323,P04755,view,,2025-09-19 21:53:10
U01347,P01355,add_to_cart,,2025-09-19 22:16:10
U00385,P00961,view,,2025-09-19 22:32:10
U00163,P00613,purchase,,2025-09-19 22:39:10
U01986,P02949,click,,2025-09-19 22:45:10
U01851,P00763,view,,2025-09-19 22:58:10
U01722,P00239,add_to_cart,,2025-09-19 23:25:10
U00385,P04609,click,,2025-09-19 23:28:10
U01958,P02332,view,,2025-09-19 23:39:10
U00819,P01192,add_to_cart,,2025-09-19 23:43:10
U01122,P01119,view,,2025-09-19 23:49:10
U01009,P02935,view,,2025-09-19 23:50:10
U01318,P04690,view,,2025-09-19 23:53:10
U00014,P01334,view,,2025-09-20 00:00:10
U01492,P03896,click,,2025-09-20 00:28:10
U01007,P00189,purchase,,2025-09-20 00:32:10
U01440,P02829,view,,2025-09-20 00:37:10
U00977,P03574,view,,2025-09-20 00:44:10
U01969,P02001,add_to_cart,,2025-09-20 00:47:10
U01550,P04670,click,,2025-09-20 00:49:10
U00041,P00943,view,,2025-09-20 01:11:10
U00575,P03765,click,,2025-09-20 01:43:10
U00639,P00244,view,,2025-09-20 01:57:10
U01790,P04857,purchase,,2025-09-20 02:05:10
U01740,P00031,click,,2025-09-20 02:06:10
U01082,P01604,view,,2025-09-20 02:37:10
U01790,P04796,click,,2025-09-20 02:39:10
U00262,P00720,view,,2025-09-20 02:46:10
U01392,P04990,view,,2025-09-20 03:05:10
U01198,P04643,view,,2025-09-20 03:18:10
U00785,P01266,view,,2025-09-20 03:41:10
U00387,P01893,view,,2025-09-20 03:48:10
U01307,P00002,view,,2025-09-20 04:02:10
U00498,P00268,view,,2025-09-20 04:15:10
U00536,P03107,view,,2025-09-20 04:18:10
U01604,P03009,purchase,,2025-09-20 04:22:10
